generated_image,prompt_id,prompt,closest_training_image,building_name,similarity,top2_match,top3_match,inspection_category
lora_eval_01.jpg,LORA_EVAL_01,"Brutalist civic building with monumental exposed concrete massing, cantilevered upper volumes, and deep-set window embrasures, daylight, architectural photography",ARC_0020,Blok mieszkalny SPN,0.8041,ARC_0014 (0.7955),ARC_0012 (0.7951),MODERATE_FEATURE_SIMILARITY
lora_eval_02.jpg,LORA_EVAL_02,"Brutalist art museum with monolithic raw concrete walls, sharp angular geometries, and recessed ground entrance, architectural photography",ARC_0017,20150630 former library Doetinchem 01,0.7505,ARC_0018 (0.7449),ARC_0003 (0.7287),MODERATE_FEATURE_SIMILARITY
lora_eval_03.jpg,LORA_EVAL_03,"Brutalist university lecture hall complex with tiered board-marked concrete facades and bold structural piers, bright daylight, architectural photography",ARC_0018,20150630 former library Doetinchem 03,0.8581,ARC_0012 (0.8224),ARC_0014 (0.8197),HIGH_FEATURE_SIMILARITY_TRIGGER
lora_eval_04.jpg,LORA_EVAL_04,"Brutalist residential apartment building with modular precast concrete balconies and rhythmic geometric facade articulation, urban street view, architectural photography",ARC_0012,20241013 171550375 Milutina Milankovića,0.7908,ARC_0018 (0.7719),ARC_0007 (0.7479),MODERATE_FEATURE_SIMILARITY
lora_eval_05.jpg,LORA_EVAL_05,"Brutalist cultural center featuring heavy cantilevered concrete canopies, prominent brise-soleil sun louvers, and unadorned surfaces, architectural photography",ARC_0012,20241013 171550375 Milutina Milankovića,0.7804,ARC_0018 (0.7782),ARC_0013 (0.7738),MODERATE_FEATURE_SIMILARITY
lora_eval_06.jpg,LORA_EVAL_06,"Brutalist municipal public library with exposed waffle slab overhangs and recessed continuous horizontal ribbon windows, clear sky, architectural photography",ARC_0018,20150630 former library Doetinchem 03,0.8541,ARC_0012 (0.8191),ARC_0014 (0.8051),HIGH_FEATURE_SIMILARITY_TRIGGER
lora_eval_07.jpg,LORA_EVAL_07,"Brutalist urban plaza anchored by massive sculpted concrete administrative towers and sunken paved pedestrian terraces, architectural photography",ARC_0010,Bank of Finland Helsinki  DSC05358.JPG,0.7528,ARC_0020 (0.7471),ARC_0006 (0.745),MODERATE_FEATURE_SIMILARITY
lora_eval_08.jpg,LORA_EVAL_08,"Brutalist concrete facade close-up detailing rough board-marked timber impressions, exposed aggregate texture, and crisp beveled edges, natural raking light",ARC_0011,20241013 171013044 Milutina Milankovića,0.6017,ARC_0006 (0.6008),ARC_0015 (0.5655),NOVEL_COMPOSITION
lora_eval_09.jpg,LORA_EVAL_09,"Brutalist commercial office building viewed from street level showing massive load-bearing concrete pilotis and hard-edged geometric silhouette, architectural photography",ARC_0015,20241013 162541625 Milutina Milankovića,0.763,ARC_0014 (0.7383),ARC_0021 (0.7361),MODERATE_FEATURE_SIMILARITY
lora_eval_10.jpg,LORA_EVAL_10,"Brutalist research facility viewed from an interior concrete courtyard with stepped monolithic terraces and deep structural shadows, architectural photography",ARC_0006,Androclusgebouw,0.7509,ARC_0010 (0.7282),ARC_0003 (0.7219),MODERATE_FEATURE_SIMILARITY
lora_eval_11.jpg,LORA_EVAL_11,"Brutalist government pavilion in direct high-noon desert daylight, casting hard geometric cast shadows across bush-hammered concrete walls, architectural photography",ARC_0018,20150630 former library Doetinchem 03,0.7189,ARC_0013 (0.7116),ARC_0017 (0.6942),LOW_FEATURE_SIMILARITY
lora_eval_12.jpg,LORA_EVAL_12,"Brutalist archive building under diffuse overcast sky, showing weathered gray concrete surfaces, monolithic solid walling, and narrow vertical slit windows, architectural photography",ARC_0006,Androclusgebouw,0.7863,ARC_0003 (0.7544),ARC_0017 (0.7492),MODERATE_FEATURE_SIMILARITY
