image_id,style,decision,reason,confidence
ARC_0001,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0002,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0003,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0004,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0005,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0006,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0007,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0008,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0009,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0010,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0011,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0012,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0013,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0014,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0015,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0016,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0017,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0018,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0019,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0020,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
ARC_0021,Brutalism architecture,KEEP,"Visible exposed raw concrete (béton brut), heavy geometric massing, structural piers, or deep-set window embrasures directly demonstrate Brutalist architectural vocabulary.",HIGH
