image_id,filename,split,style,building_name,width,height,aspect_ratio,mode,architectural_elements,materials,license,source_url
ARC_0001,ARC_0001.jpg,train,Brutalism architecture,Arnulfsplatz  Regensburg 013,1536,1024,1.5,RGB,cantilevered concrete volumes;deep-set windows;raw concrete finish,board-marked concrete;glass,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/d/da/Arnulfsplatz_-_Regensburg_013.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0002,ARC_0002.jpg,train,Brutalism architecture,Biurowiec ZREMB Wrocław 20260105,1365,1024,1.33,RGB,exposed concrete tower;modular grid;recessed windows,reinforced concrete;glass,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/f/f1/Biurowiec_ZREMB%2C_Wroc%C5%82aw_%282026-01-05%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0003,ARC_0003.jpg,train,Brutalism architecture,Amenity building university of Bath1,1024,1024,1.0,RGB,monolithic sculpted concrete;projecting staircase,cast-in-place concrete,CC BY 2.0,https://upload.wikimedia.org/wikipedia/commons/7/7f/Amenity_building_university_of_Bath1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0004,ARC_0004.jpg,train,Brutalism architecture,Bike path bridge and the Palácio da Justiça,1574,1024,1.54,RGB,tiered concrete terraces;structural piers;ribbon glazing,concrete;steel;glass,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/2/2a/Bike_path%2C_bridge%2C_and_the_Pal%C3%A1cio_da_Justi%C3%A7a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0005,ARC_0005.jpg,train,Brutalism architecture,20210802Kaiserburgbahn1,1536,1024,1.5,RGB,cantilevered canopy;brise-soleil louvers;modular grid,concrete;aluminum,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/a/aa/2021-08-02-Kaiserburgbahn-1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0006,ARC_0006.jpg,train,Brutalism architecture,Androclusgebouw,1536,1024,1.5,RGB,bush-hammered concrete;angular geometry;recessed portal,bush-hammered concrete;glass,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/6/6a/Androclusgebouw.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0007,ARC_0007.jpg,train,Brutalism architecture,Beograd 45063391832,1536,1024,1.5,RGB,waffle slab soffit;concrete colonnade;deep shadows,board-formed concrete,CC BY 2.0,https://upload.wikimedia.org/wikipedia/commons/c/c6/Beograd_%2845063391832%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0008,ARC_0008.jpg,train,Brutalism architecture,Aanzicht tribune Koning Boudewijnstadion in KesselLo een dee,1365,1024,1.33,RGB,cantilevered concrete volumes;deep-set windows;raw concrete finish,board-marked concrete;glass,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/9/96/Aanzicht_tribune_Koning_Boudewijnstadion_in_Kessel-Lo_%28een_deelgemeente_van_Leuven%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0009,ARC_0009.jpg,train,Brutalism architecture,Bad Tatzmannsdorf  Apotheke Zur göttlichen Vorsehung,1639,1024,1.6,RGB,exposed concrete tower;modular grid;recessed windows,reinforced concrete;glass,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/6/6f/Bad_Tatzmannsdorf_-_Apotheke_Zur_g%C3%B6ttlichen_Vorsehung.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
ARC_0010,ARC_0010.jpg,train,Brutalism architecture,Bank of Finland Helsinki  DSC05358.JPG,1365,1024,1.33,RGB,monolithic sculpted concrete;projecting staircase,cast-in-place concrete,CC0,https://upload.wikimedia.org/wikipedia/commons/b/b0/Bank_of_Finland%2C_Helsinki_-_DSC05358.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
