prompt_id,prompt,seed,output_path
LORA_EVAL_01,"Brutalist civic building with monumental exposed concrete massing, cantilevered upper volumes, and deep-set window embrasures, daylight, architectural photography",42,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_01.jpg
LORA_EVAL_02,"Brutalist art museum with monolithic raw concrete walls, sharp angular geometries, and recessed ground entrance, architectural photography",43,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_02.jpg
LORA_EVAL_03,"Brutalist university lecture hall complex with tiered board-marked concrete facades and bold structural piers, bright daylight, architectural photography",44,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_03.jpg
LORA_EVAL_04,"Brutalist residential apartment building with modular precast concrete balconies and rhythmic geometric facade articulation, urban street view, architectural photography",45,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_04.jpg
LORA_EVAL_05,"Brutalist cultural center featuring heavy cantilevered concrete canopies, prominent brise-soleil sun louvers, and unadorned surfaces, architectural photography",46,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_05.jpg
LORA_EVAL_06,"Brutalist municipal public library with exposed waffle slab overhangs and recessed continuous horizontal ribbon windows, clear sky, architectural photography",47,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_06.jpg
LORA_EVAL_07,"Brutalist urban plaza anchored by massive sculpted concrete administrative towers and sunken paved pedestrian terraces, architectural photography",48,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_07.jpg
LORA_EVAL_08,"Brutalist concrete facade close-up detailing rough board-marked timber impressions, exposed aggregate texture, and crisp beveled edges, natural raking light",49,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_08.jpg
LORA_EVAL_09,"Brutalist commercial office building viewed from street level showing massive load-bearing concrete pilotis and hard-edged geometric silhouette, architectural photography",50,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_09.jpg
LORA_EVAL_10,"Brutalist research facility viewed from an interior concrete courtyard with stepped monolithic terraces and deep structural shadows, architectural photography",51,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_10.jpg
LORA_EVAL_11,"Brutalist government pavilion in direct high-noon desert daylight, casting hard geometric cast shadows across bush-hammered concrete walls, architectural photography",52,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_11.jpg
LORA_EVAL_12,"Brutalist archive building under diffuse overcast sky, showing weathered gray concrete surfaces, monolithic solid walling, and narrow vertical slit windows, architectural photography",53,/content/drive/MyDrive/Architectural-Styles-LoRA/outputs/brutalism_sdxl_lora_v1/lora/lora_eval_12.jpg
